#active_nodes,ipv4,uk-lnd,nl-ens,us-mia,us-los,br-poa,fr-par,au-syd
#bgp_policy,prepend-positive-5x-uk-lnd-anycast02
#date,
#site,counts,percent
br-poa-anycast01,1445271,23
nl-ens-anycast02,637942,10
au-syd-anycast01,619064,10
us-mia-anycast01,532189,8
fr-par-anycast01,345398,5
uk-lnd-anycast02,1578,0
jp-hnd-anycast01,1,0
unknown,2544313,41

