#active_nodes,ipv4,us-los,nl-ens,au-syd,fr-par,br-poa,us-mia,uk-lnd
#bgp_policy,prepend-negative-5x-nl-ens-anycast02
#date,
#site,counts,percent
nl-ens-anycast02,2842191,46
uk-lnd-anycast02,265192,4
au-syd-anycast01,199457,3
us-mia-anycast01,86292,1
br-poa-anycast01,74233,1
fr-par-anycast01,7224,0
jp-hnd-anycast01,1,0
unknown,2651166,43

