#active_nodes,ipv4,nl-ens,uk-lnd,br-poa,fr-par,au-syd,us-mia,us-los
#bgp_policy,prepend-positive-1x-nl-ens-anycast02
#date,
#site,counts,percent
br-poa-anycast01,991554,16
uk-lnd-anycast02,973211,15
au-syd-anycast01,631261,10
us-mia-anycast01,475283,7
nl-ens-anycast02,379499,6
fr-par-anycast01,171868,2
jp-hnd-anycast01,1,0
unknown,2503079,40

