#active_nodes,ipv4,br-poa,uk-lnd,au-syd,nl-ens,us-mia,fr-par,us-los
#bgp_policy,prepend-negative-4x-br-poa-anycast01
#date,
#site,counts,percent
br-poa-anycast01,3097546,50
nl-ens-anycast02,331415,5
uk-lnd-anycast02,39120,0
au-syd-anycast01,38136,0
us-mia-anycast01,19949,0
fr-par-anycast01,13027,0
jp-hnd-anycast01,1,0
unknown,2586562,42

