#active_nodes,ipv4,us-mia,us-los,nl-ens,uk-lnd,br-poa,au-syd,fr-par
#bgp_policy,prepend-negative-4x-uk-lnd-anycast02
#date,
#site,counts,percent
uk-lnd-anycast02,2166273,35
br-poa-anycast01,761226,12
nl-ens-anycast02,427149,7
us-mia-anycast01,146113,2
fr-par-anycast01,59240,1
au-syd-anycast01,46511,0
jp-hnd-anycast01,1,0
unknown,2519243,41

