policy,lnd,mia,poa
3356,76,1,22
2914,76,1,22
1239,76,1,22
1299,76,1,22
701,76,1,22
5511,76,1,22
6762,76,1,22
3257,76,1,22
7018,76,1,22
3320,76,1,22
6453,76,1,22
174,76,1,22
6939,75,2,22
63221_24115,75,2,22
1273,74,3,22
6461,74,3,22
24115,64,12,22
1916,58,20,21
16735,57,20,21
63221,57,20,21
262589,57,20,21
12953,57,20,21
1251,57,20,21
baseline-3xMIA,18,70,11
