policy,lnd,mia,poa
5511,77,0,22
701,77,0,22
7018,77,0,22
6453,77,0,22
3320,77,0,22
6762,77,0,22
2914,77,0,22
3257,77,0,22
1239,77,0,22
3356,77,0,22
1299,77,0,22
6939,76,0,22
174,77,0,22
6461,75,1,22
63221_24115,75,2,22
1273,75,2,22
24115,75,2,22
1251,72,4,22
16735,72,5,22
1916,72,5,22
63221,72,5,22
12953,72,5,22
262589,72,5,22
baseline,52,25,21
