policy,lnd,mia,poa
3356,76,0,22
2914,76,0,22
3257,76,0,22
174,76,0,22
6939,76,0,22
3320,76,0,22
1239,76,0,22
6762,76,0,22
7018,76,0,22
1299,76,0,22
5511,76,0,22
6453,76,0,22
701,76,0,22
6461,75,1,22
1273,75,2,22
63221_24115,75,2,22
24115,75,2,22
1251,72,4,22
12953,72,5,22
63221,72,5,22
262589,72,5,22
16735,72,5,22
1149_1149_1149,72,5,22
1916,72,5,22
1149_1149,68,8,22
baseline,57,20,21
1149,57,20,22
