#active_nodes,ipv4,us-mia,br-poa,uk-lnd,au-syd,us-was,fr-par,jp-hnd
#bgp_policy,prepend-negative-3x-au-syd-anycast01
#date,2020-01-31-23:10:04
#site,count,percent
au-syd-anycast01,1990782,32
us-was-anycast01,532425,8
uk-lnd-anycast02,359714,5
br-poa-anycast01,319112,5
us-mia-anycast01,139011,2
fr-par-anycast01,49988,0
jp-hnd-anycast01,1,0
unknown,2763755,44

