#active_nodes,ipv4,au-syd,us-mia,fr-par,us-was,jp-hnd,uk-lnd,br-poa
#bgp_policy,prepend-negative-4x-us-mia-anycast01
#date,2020-01-31-23:10:04
#site,count,percent
us-mia-anycast01,2144542,34
us-was-anycast01,528694,8
br-poa-anycast01,348142,5
uk-lnd-anycast02,297676,4
au-syd-anycast01,41208,0
fr-par-anycast01,37194,0
jp-hnd-anycast01,1,0
unknown,2757331,44

