#active_nodes,ipv4,br-poa,us-was,jp-hnd,us-mia,fr-par,au-syd,uk-lnd
#bgp_policy,prepend-regular_positive-4x-ampath-node
#date,2020-02-07-09:22:17
#site,count,percent
uk-lnd-anycast02,955352,15
au-syd-anycast01,772231,12
br-poa-anycast01,738828,12
us-was-anycast01,552145,9
fr-par-anycast01,282787,4
us-mia-anycast01,78583,1
jp-hnd-anycast01,1,0
unknown,2774861,45

