#active_nodes,ipv4,us-los,us-mia,nl-ens,uk-lnd,br-poa,au-syd,fr-par
#bgp_policy,community-20080:700-us-mia-anycast01
#date,
#site,counts,percent
br-poa-anycast01,986841,16
uk-lnd-anycast02,917291,15
au-syd-anycast01,758080,12
nl-ens-anycast02,508958,8
us-mia-anycast01,191664,3
fr-par-anycast01,190230,3
jp-hnd-anycast01,1,0
unknown,2572691,42

