#active_nodes,ipv4,br-poa,uk-lnd,us-mia,nl-ens,fr-par,au-syd,us-los
#bgp_policy,community-20473:6002-au-syd-anycast01
#date,
#site,counts,percent
br-poa-anycast01,1028537,16
us-mia-anycast01,972029,15
uk-lnd-anycast02,850077,13
nl-ens-anycast02,464914,7
fr-par-anycast01,212679,3
au-syd-anycast01,44607,0
jp-hnd-anycast01,1,0
unknown,2552912,41

