#active_nodes,ipv4,fr-par,au-syd,nl-ens,uk-lnd,br-poa,us-mia,us-los
#bgp_policy,community-20473:64609-uk-lnd-anycast02
#date,
#site,counts,percent
br-poa-anycast01,954702,15
uk-lnd-anycast02,843030,13
au-syd-anycast01,615825,10
us-mia-anycast01,503440,8
nl-ens-anycast02,464396,7
fr-par-anycast01,175581,2
jp-hnd-anycast01,1,0
unknown,2568781,41

