#active_nodes,ipv4,fr-par,au-syd,uk-lnd,br-poa,nl-ens,us-los,us-mia
#bgp_policy,prepend-positive-3x-fr-par-anycast01
#date,
#site,counts,percent
uk-lnd-anycast02,1024195,16
br-poa-anycast01,937636,15
au-syd-anycast01,643679,10
us-mia-anycast01,497196,8
nl-ens-anycast02,483061,7
fr-par-anycast01,6757,0
jp-hnd-anycast01,1,0
unknown,2533231,41

