#active_nodes,ipv4,br-poa,nl-ens,au-syd,us-mia,uk-lnd,fr-par,us-los
#bgp_policy,prepend-negative-2x-fr-par-anycast01
#date,
#site,counts,percent
fr-par-anycast01,1678280,27
br-poa-anycast01,773522,12
nl-ens-anycast02,454912,7
us-mia-anycast01,309481,5
uk-lnd-anycast02,303261,5
au-syd-anycast01,40697,0
jp-hnd-anycast01,1,0
unknown,2565602,41

